ID or #		Start	End
============================
1		190	5020
2		8238	9893
3		10643	11786
4		12163	15298
5		16751	16960
6		17489	19620
7		19811	20508
8		21181	25701
9		25826	27227
10		29651	34038
11		34781	39115
12		39244	41931
13		42403	47138
14		47246	49631
15		50380	57109
16		59687	63264
17		66835	70048
18		70387	72115
19		72229	75480
20		77367	78799
21		78848	83529
22		85630	87848
23		89634	106456
24		107705	110984
25		111649	113219
26		114522	117549
27		118733	120135
28		123017	127587
29		134788	136464
30		142779	145017
31		147944	149601
32		149715	156201
33		157253	160604
34		160782	162031
35		167484	173444
36		175107	176954
37		177001	179153
38		185123	188650
39		189712	190599
40		194903	200360
41		200482	209580
42		209679	213629
43		213678	214125
44		214291	215979
45		218887	219995
46		220113	222645
49		231122	232549
50		232597	234782
51		245961	246502
52		250898	253161
54		259612	262170
56		264528	265777
57		274549	276871
59		281481	284392
60		284619	287623
62		292444	294023
63		296605	301797
64		303719	310560
65		311598	312001
66		314506	315677
67		316950	317791
68		320832	323677
69		324801	328558
70		334504	338967
71		339389	341731
72		349236	353816
73		354146	356678
74		358023	360370
75		360473	365529
76		365652	367644
77		367835	374105
78		377686	379105
80		384456	387870
82		395863	398190
83		405629	406394
84		406652	407685
85		411831	416176
86		416366	418408
87		418815	421583
88		424235	429700
89		432226	434780
90		434858	436331
91		437539	440567
92		442275	443739
93		446039	450834
94		451294	453391
95		455901	457924
96		464076	466536
97		467607	471641
98		471822	473476
99		479314	479932
100		480478	484843
101		489334	490036
102		491316	494234
103		510865	513092
104		513625	514997
105		515143	516586
106		516649	518989
107		518957	522054
108		529356	531445
109		531675	533050
110		533140	535710
111		536857	542257
112		542485	545587
113		548850	550555
114		550750	553660
115		555884	556964
116		558197	563068
118		570116	571474
119		571591	573093
120		576621	577333
122		586314	592401
123		592551	594666
124		596354	601080
125		604741	606606
126		612038	617261
127		618607	621412
128		624108	628936
129		633970	635792
130		645854	651079
131		651458	653765
132		660860	663186
133		663325	668259
134		668519	674006
135		675934	678065
136		678731	680886
137		683753	685892
138		688566	692601
139		695653	696356
140		698797	702834
141		707557	709339
142		709423	709948
143		712210	714421
144		716169	719683
145		720279	728044
147		738224	740148
148		742050	745949
149		747144	752018
150		754400	757628
151		757929	761962
152		762237	764272
153		765207	769834
154		770681	773825
155		773975	776830
156		776963	779612
159		781308	783108
160		787020	791278
161		791539	793867
162		794312	796835
163		799982	802543
164		806656	808480
165		808567	812170
166		816267	818970
167		820765	823720
168		824225	829866
169		832293	835433
170		837413	840754
171		844964	846342
172		852406	853988
173		859397	862761
174		863603	865587
175		865791	872024
176		872202	875886
177		881199	882611
178		884169	886562
179		890136	892092
180		893007	898868
181		900089	902957
182		903816	904966
183		904963	910272
184		910405	913037
185		918458	921516
186		922136	924763
187		925951	930185
188		936595	939943
189		940182	944119
190		950495	953689
191		956876	959318
192		960424	962891
193		963543	970821
194		972760	980009
195		982298	983520
196		992500	996735
197		997713	1003880
198		1007067	1011094
199		1011224	1014682
200		1015175	1017522
201		1020953	1023571
202		1027627	1029192
203		1031362	1036829
204		1036963	1039760
205		1041253	1048555
207		1051070	1051463
208		1057307	1061621
209		1061773	1062998
210		1066087	1066931
211		1067734	1073234
212		1081466	1083870
213		1085329	1091512
215		1097109	1099417
216		1100074	1102419
217		1103174	1104125
218		1104637	1106999
219		1108558	1112629
220		1117124	1118269
221		1118530	1119809
222		1122630	1124549
223		1124785	1126952
224		1128637	1129351
225		1130241	1133780
226		1133952	1137535
227		1137601	1140209
228		1145812	1150627
229		1152523	1156797
230		1161108	1164908
231		1174650	1179582
232		1179702	1184817
233		1187539	1189670
234		1189839	1194174
235		1196090	1197460
236		1198902	1200255
237		1202491	1204954
238		1206136	1207768
239		1215291	1215858
240		1221528	1222386
