ID or #		Start	End
============================
1		4263805	4264884
2		795085	795774
3		2529485	2530246
4		3810754	3811974
5		2260387	2261517
6		4345427	4346767
7		2422539	2423255
8		4199949	4201346
9		5683	6459
10		926697	928418
11		1938337	1939659
12		2585617	2588730
13		2639853	2640866
14		3270809	3271579
15		3331732	3332703
16		3399414	3401354
17		4102995	4103693
18		4585932	4586888
19		4215132	4216436
20		4213501	4215102
21		123017	125680
22		125695	127587
23		4216619	4218355
24		2411492	2412694
25		949563	950303
26		2307363	2308427
27		1700257	1701258
28		1294669	1297344
29		496399	497043
30		1064808	1066049
31		2817403	2820033
32		1486256	1487695
33		1360767	1362254
34		2306713	2307363
35		2053085	2054539
36		4375834	4376967
37		118733	119284
38		119281	120135
39		4434778	4435518
40		1819942	1820280
41		1848884	1849900
42		3097704	3098750
43		51229	51606
44		50380	51222
45		1039840	1041138
46		582904	583653
47		490636	491187
48		66835	68337
49		68348	70048
50		70387	71265
51		65855	66550
52		2978786	2980204
53		1983163	1984152
54		1981579	1983093
55		1980578	1981564
56		410521	411705
57		4637613	4638329
58		3348711	3351047
59		2947264	2948595
60		4154036	4154812
61		4153024	4154028
62		3486982	3488202
63		288525	289529
64		3316659	3318002
65		4475330	4476334
66		3382725	3383195
67		1958086	1959819
68		2425031	2425813
69		958035	959318
70		3515420	3516508
71		2444410	2445495
72		1772710	1773468
73		3428042	3428860
74		2738102	2739172
75		784856	785908
76		1786459	1787505
77		3516565	3517086
78		405629	406153
79		406652	407329
80		120178	121551
81		2839012	2840436
82		2837546	2839003
83		2836276	2837289
84		3571798	3572901
85		3982375	3984030
86		3980981	3982216
87		3925178	3926170
88		696736	698400
89		3924568	3925026
90		986808	988208
91		4364914	4366350
92		983742	984932
93		1946774	1948546
94		3916339	3917880
95		3919259	3920074
96		3913576	3913995
97		3914016	3915398
98		3918973	3919212
99		3918441	3918911
100		3915425	3916288
101		3917893	3918426
102		3920083	3920463
104		2598500	2598970
105		324801	326471
106		326485	327957
107		327971	328558
108		328687	330720
109		3464271	3464747
110		3900312	3901724
111		3901743	3903620
112		3903754	3904590
113		807191	808480
114		808567	809607
115		810745	811500
116		811493	812170
117		809604	810758
118		3542096	3542866
119		4171105	4172070
120		3712084	3714417
121		453696	454013
122		4161662	4163506
123		1792196	1793176
124		1790833	1791582
125		1791582	1792133
126		1325791	1326381
127		4354493	4356640
128		4356720	4358054
129		4358419	4359957
130		29651	30799
131		30817	34038
132		3199913	3201151
133		2229866	2230750
134		4107953	4108708
135		195677	196534
136		1819323	1819643
137		1817880	1819238
138		1817479	1817829
139		1816629	1817471
140		1815172	1816524
141		4636201	4637553
142		1971384	1973348
143		1965476	1966525
144		1966528	1967388
145		1970860	1971363
146		1965072	1965461
147		1964417	1965061
148		795777	796835
149		864352	865587
150		863603	864352
151		2242800	2244791
152		922487	924763
153		2729622	2732195
154		455901	456524
155		456650	457924
156		4432645	4434588
157		2121108	2122544
158		2119633	2121003
159		4101625	4102998
160		3484142	3484774
161		2533856	2534365
162		3718072	3718284
163		629117	631222
164		688566	690104
165		2428297	2428785
166		3989176	3991722
167		1488926	1489456
168		770681	772249
169		772265	773404
170		358713	359183
171		358023	358682
172		359216	360370
173		449887	450834
174		447874	449865
175		447270	447884
176		446941	447270
177		446039	446929
178		2537739	2538836
179		1331879	1332853
180		2871409	2872014
181		2873443	2874351
182		3779764	3780585
183		3495850	3497223
184		2885600	2886334
185		2886409	2888121
186		2888121	2889920
187		2530431	2531402
188		2536694	2537605
189		2872014	2873441
190		2540534	2541550
191		553834	555219
192		2539701	2540534
193		2538826	2539701
194		4121454	4122479
195		661975	663186
196		3326985	3328418
197		879950	881152
198		3513099	3513935
199		2596904	2597782
200		28374	29195
201		185123	185947
202		2589629	2590756
203		3992785	3993609
204		1407535	1408908
205		2028923	2030341
206		1623359	1625404
207		399053	400147
208		102233	103153
209		3303993	3305882
210		2432104	2432763
211		2431034	2431948
212		2429044	2429706
213		4616252	4617574
214		4617626	4618849
215		4615346	4616125
216		4618906	4619625
217		881199	881957
218		4254660	4255028
219		179237	180754
220		1645958	1646365
221		1647633	1647821
222		1645644	1645874
223		2435972	2436967
224		160149	160604
225		2220207	2221922
226		940182	942626
227		942637	943254
228		943256	944119
229		3880349	3881752
230		4262337	4263752
231		4598261	4598998
232		205126	208608
233		3209129	3210874
234		14168	15298
235		12163	14079
236		3879244	3880344
237		236067	236798
238		4599001	4599540
239		491316	493247
240		232597	233955
241		2698640	2699020
242		3704121	3705728
243		2477224	2478552
244		2475869	2477206
245		3811955	3812410
246		3220655	3223747
247		3223744	3224193
248		3219488	3220471
249		2301927	2302415
250		1930139	1930780
251		1930817	1932628
252		2904665	2905963
253		627774	628520
254		626917	627774
255		624108	625283
256		608682	609311
257		625293	626903
258		613380	617261
259		106557	107474
260		3411886	3413043
262		585370	586131
263		3532538	3533890
264		2700503	2701408
265		3149272	3150006
266		3148840	3149265
267		1015175	1015693
268		2438407	2439627
269		3403458	3403928
270		3403939	3405288
271		1147982	1148935
